"","WATER_TYPE_NAME","Mgmt_Unit","ASSESSMENT_UNIT_ID","ASSESSMENT_UNIT_NAME","LAST_ASSESSED_CYCLE","DWQ_Category","EPA_IR_CATEGORY_ID","PARAMETER_CODE_NAME","PARAMETER_ATTAINMENT","Uses","FIRST_LISTED_CYCLE","CWA303D_PRIORITY_RANKING","WATER_SIZE","UNITS","HNNC","Parameter_Status"
"1","LAKE, FRESHWATER","Lower Colorado River","UT-L-15010008-001_00","Gunlock Reservoir",2022,"Approved TMDL","4A","DISSOLVED OXYGEN","Meeting criteria","Aquatic Wildlife (Warm Water)",NA,"",221.0822,"Acres","","TMDL Approved (12106)"
"2","LAKE, FRESHWATER","Lower Colorado River","UT-L-15010008-001_00","Gunlock Reservoir",2022,"Approved TMDL","4A","PHOSPHORUS, TOTAL","Not meeting criteria","Aquatic Wildlife (Warm Water)",1998,"Low",221.0822,"Acres","","TMDL Approved (12106)"
"3","LAKE, FRESHWATER","Lower Colorado River","UT-L-15010008-008_00","Baker Dam Reservoir",2024,"Not Supporting but has Approved TMDL for some parameters","5","DISSOLVED OXYGEN","Not meeting criteria","Aquatic Wildlife (Cold Water)",1998,"Low",44.1358,"Acres","","TMDL Approved (12105)"
"4","LAKE, FRESHWATER","Lower Colorado River","UT-L-15010008-008_00","Baker Dam Reservoir",2024,"Not Supporting but has Approved TMDL for some parameters","5","PHOSPHORUS, TOTAL","Not meeting criteria","Aquatic Wildlife (Cold Water)",2002,"Low",44.1358,"Acres","","TMDL Approved (12105)"
"5","LAKE, FRESHWATER","Lower Colorado River","UT-L-15010008-008_00","Baker Dam Reservoir",2024,"Not Supporting but has Approved TMDL for some parameters","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",1992,"Low",44.1358,"Acres","","TMDL Needed"
"6","LAKE, FRESHWATER","Lower Colorado River","UT-L-15010008-018_00","Kolob Reservoir",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,237.9389,"Acres","",NA
"7","LAKE, FRESHWATER","Lower Colorado River","UT-L-15010008-024_00","Quail Creek Reservoir",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,587.9211,"Acres","",NA
"8","LAKE, FRESHWATER","Lower Colorado River","UT-L-15010008-025_00","Sand Hollow Reservoir",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,1260.2944,"Acres","",NA
"9","LAKE, FRESHWATER","Southeast Colorado River","UT-L-14030004-001_00","Dark Canyon Lake",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,5.0805,"Acres","",NA
"10","LAKE, FRESHWATER","Southeast Colorado River","UT-L-14030005-004_00","Kens Lake",2022,"Fully Supporting","1",NA,NA,NA,NA,NA,77.5063,"Acres","",NA
"11","LAKE, FRESHWATER","Southeast Colorado River","UT-L-14080201-002_00","Blanding City Reservoir",2024,"Not Supporting","5","DISSOLVED OXYGEN","Not meeting criteria","Aquatic Wildlife (Cold Water)",2020,"Low",91.5405,"Acres","","TMDL Needed"
"12","LAKE, FRESHWATER","Southeast Colorado River","UT-L-14080201-002_00","Blanding City Reservoir",2024,"Not Supporting","5","PH","Not meeting criteria","Aquatic Wildlife (Cold Water)",2022,"Low",91.5405,"Acres","","TMDL Needed"
"13","LAKE, FRESHWATER","Southeast Colorado River","UT-L-14080201-002_00","Blanding City Reservoir",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",2012,"Low",91.5405,"Acres","","TMDL Needed"
"14","LAKE, FRESHWATER","Southeast Colorado River","UT-L-14080201-007_00","Recapture Reservoir",2024,"Not Supporting","5","DISSOLVED OXYGEN","Not meeting criteria","Aquatic Wildlife (Cold Water)",2020,"Low",220.9871,"Acres","","TMDL Needed"
"15","LAKE, FRESHWATER","Southeast Colorado River","UT-L-14080201-007_00","Recapture Reservoir",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",2020,"Low",220.9871,"Acres","","TMDL Needed"
"16","LAKE, FRESHWATER","Southeast Colorado River","UT-L-14080203-002_00","Monticello Lake",2024,"Not Supporting","5","DISSOLVED OXYGEN","Not meeting criteria","Aquatic Wildlife (Cold Water)",2016,"Low",5.4928,"Acres","","TMDL Needed"
"17","LAKE, FRESHWATER","Southeast Colorado River","UT-L-14080203-002_00","Monticello Lake",2024,"Not Supporting","5","PH","Not meeting criteria","Aquatic Wildlife (Cold Water)",2006,"Low",5.4928,"Acres","","TMDL Needed"
"18","LAKE, FRESHWATER","Southeast Colorado River","UT-L-14080203-002_00","Monticello Lake",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",2020,"Low",5.4928,"Acres","","TMDL Needed"
"19","LAKE, FRESHWATER","Southeast Colorado River","UT-L-14080203-009_00","Lloyds Reservoir",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,90.4705,"Acres","",NA
