ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,PARAMETER_CODE_NAME,PARAMETER_STATUS_NAME,USE_NAME,ATTAINMENT_CODE_NAME,PARAMETER_ATTAINMENT,FIRST_LISTED_CYCLE
UT14060005-002_00,Pariette Draw Creek,BORON,Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT14060005-002_00,Pariette Draw Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT14060005-002_00,Pariette Draw Creek,SELENIUM,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT14060005-002_00,Pariette Draw Creek,SELENIUM,Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,1998
UT-L-16030006-008_00,Newcastle Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1996
UT-L-16030006-008_00,Newcastle Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1996
UT-L-16030006-008_00,Newcastle Reservoir,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2022
UT-L-14060010-006_00,Steinaker Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT14060003-008_00,Lake Fork-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2004
UT-L-16010202-002_00,Cutler Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2004
UT-L-16010202-002_00,Cutler Reservoir,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Warm Water),Not Supporting,Meeting criteria,
UT-L-16010202-002_00,Cutler Reservoir,EUTROPHICATION,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2004
UT16010202-004_00,Bear River-3,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT16010202-004_00,Bear River-3,"PHOSPHORUS, TOTAL",Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,1998
UT16010202-008_00,High Creek Lower,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16010202-009_00,Spring Creek Lewiston,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT16010202-009_00,Spring Creek Lewiston,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT16010202-010_00,Cub River,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT16010203-005_00,Logan River-1,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-14060010-002_00,Brough Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16010204-033_00,Mantua Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16010204-033_00,Mantua Reservoir,PH,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT-L-16010204-033_00,Mantua Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020102-026_02,Murnin Creek,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1992
UT16020102-026_03,Toll Canyon,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1992
UT16020102-026_01,East Canyon Creek-2,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1992
UT-L-16020102-020_00,East Canyon Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1988
UT-L-16020102-020_00,East Canyon Reservoir,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT16030007-002_00,Beaver River-2,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16030007-002_00,Beaver River-2,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT-L-16030007-011_00,Minersville Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16030007-011_00,Minersville Reservoir,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT-L-16030007-011_00,Minersville Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16030002-003_00,Otter Creek-3,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16030002-003_00,Otter Creek-3,SEDIMENT,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16030002-004_00,Otter Creek-2,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16030002-004_00,Otter Creek-2,SEDIMENT,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16030002-004_00,Otter Creek-2,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2012
UT-L-16030007-028_00,Puffer Lake,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT-L-16030007-028_00,Puffer Lake,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16030007-020_00,Kents Lake,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16030007-020_00,Kents Lake,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16030007-027_00,LaBaron Lake,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT-L-16030007-027_00,LaBaron Lake,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT16020101-011_00,South Fork Chalk Creek,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020101-011_00,South Fork Chalk Creek,SEDIMENT,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020101-014_00,Chalk Creek3-Coalville,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020101-014_00,Chalk Creek3-Coalville,SEDIMENT,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020101-016_00,Chalk Creek-4,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020101-016_00,Chalk Creek-4,SEDIMENT,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020101-013_00,Huff Creek,SEDIMENT,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020101-013_00,Huff Creek,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-14070003-015_00,Mill Meadow Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT14070003-005_00,Fremont River-2,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT14070003-014_00,Fremont River-4,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT-L-16020203-001_00,Deer Creek Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT14030005-005_00,Mill Creek1-Moab,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT14030005-011_00,Pack Creek,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2006
UT-L-14060007-005_00,Scofield Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-14060007-005_00,Scofield Reservoir,PH,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT-L-14060007-005_00,Scofield Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT14030005-010_00,Onion Creek Lower,TEMPERATURE,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT-L-16010203-005_00,Hyrum Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16010203-005_00,Hyrum Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16010203-008_00,Spring Creek-Hyrum,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2002
UT16010203-008_00,Spring Creek-Hyrum,"AMMONIA, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16010203-008_00,Spring Creek-Hyrum,"AMMONIA, TOTAL",Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,1998
UT14080201-006_00,Cottonwood Wash-2,ALPHA PARTICLES,Cause,Domestic Source,Not Supporting,Not meeting criteria,1998
UT14080201-007_00,Cottonwood Wash-3,ALPHA PARTICLES,Cause,Domestic Source,Not Supporting,Not meeting criteria,2010
UT14080201-007_00,Cottonwood Wash-3,ALPHA PARTICLES,Cause,Agricultural,Not Supporting,Not meeting criteria,2010
UT16020204-022_00,Little Cottonwood Creek-2,ZINC,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16020102-014_00,Pineview Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16020102-014_00,Pineview Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16020102-014_00,Pineview Reservoir,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2022
UT14060003-003_00,Uinta River-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2016
UT14060003-004_00,Uinta River-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT14060003-009_00,Dry Gulch Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT-L-14070003-010_00,Johnson Valley Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16010101-006_00,Bear River-4,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2000
UT16010101-006_00,Bear River-4,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2000
