Years,Day,Date,Cysts,Nauplii,Juveniles,Males,"Total
Females",Females,"Females with
Eggs/Naups","Females
with Cysts",Units
2010,Aug. 31,8/31/2010,50.12,1.3,0.16,0.38,0.32,0.09,0.07,0.16,
2010,Sep. 7,9/7/2010,88.69,5.48,0.24,0.38,0.35,0.12,0.05,0.18,
2010,Sep. 13,9/13/2010,42.67,12.42,1.63,0.68,0.62,0.32,0.11,0.19,
2010,Sep. 23,9/23/2010,165.98,19.57,2.34,2.24,1.66,0.88,0.24,0.54,
2010,Sep. 27,9/27/2010,106.03,11.1,1.84,1.62,1.25,0.79,0.14,0.32,
2010,Oct. 11,10/11/2010,88.71,0.48,0.23,0.84,0.69,0.63,0.01,0.05,
2010,Oct. 19,10/19/2010,176.1,0.01,0.17,0.62,0.63,0.48,0.02,0.13,
2010,Oct. 28,10/28/2010,153.5,0,0.02,0.3,0.32,0.23,0.01,0.09,
2010,Nov. 2,11/2/2010,55.15,0,0.03,0.26,0.31,0.21,0.01,0.09,
2010,Nov. 12,11/12/2010,105.15,0,0.01,0.26,0.25,0.14,0.02,0.09,
2010,Nov. 17,11/17/2010,128.17,0,0,0.2,0.19,0.1,0.01,0.07,
2010,Dec. 2,12/2/2010,28.01,0,0,0.03,0.03,0.02,0.01,0.01,
2010,Dec. 7,12/7/2010,27.39,0,0,0.02,0.02,0.01,0,0,
2010,Dec. 13,12/13/2010,21.91,0,0,0.02,0.02,0.01,0,0,
2011,Aug. 29,8/29/2011,45.56,19.23,0.52,0.45,0.39,0.11,0.11,0.17,
2011,Sep. 8,9/8/2011,41.69,2.43,0.4,0.34,0.35,0.16,0.05,0.14,
2011,Sep. 13,9/13/2011,41.46,3.28,0.63,0.32,0.33,0.12,0.06,0.16,
2011,Sep. 19,9/19/2011,28.64,6.32,0.74,0.37,0.36,0.15,0.07,0.14,
2011,Sep. 27,9/27/2011,31.66,6.23,1.36,0.58,0.73,0.55,0.07,0.12,
2011,Oct. 10,10/10/2011,65.47,2.24,0.22,0.55,0.58,0.36,0.03,0.19,
2011,Oct. 18,10/18/2011,68.17,1.89,0.2,0.51,0.54,0.3,0.05,0.19,
2011,Oct. 27,10/27/2011,96.65,1.13,0.37,0.35,0.35,0.14,0.04,0.17,
2011,Oct. 31,10/31/2011,49.37,1.53,0.4,0.31,0.35,0.12,0.05,0.18,
2011,Nov. 8,11/8/2011,99.97,2.06,0.49,0.3,0.31,0.1,0.06,0.15,
2011,Nov. 14,11/14/2011,91.89,2.6,0.61,0.29,0.28,0.1,0.06,0.12,
2011,Nov. 21,11/21/2011,78.6,3.1,0.62,0.29,0.24,0.07,0.05,0.12,
2011,Nov. 28,11/28/2011,43.75,2.67,0.51,0.16,0.16,0.06,0.04,0.07,
2011,Dec. 6,12/6/2011,69.13,1.76,0.2,0.08,0.08,0.03,0.01,0.04,
2011,Dec. 12,12/12/2011,40.66,0.97,0.06,0.05,0.06,0.02,0.02,0.02,
2011,Dec. 19,12/19/2011,19.37,0.57,0,0.02,0.02,0.01,0.01,0,
2011,Dec. 27,12/27/2011,27.07,0.15,0,0.1,0.1,0,0,0,
2011,Dec. 29,12/29/2011,14.73,0.07,0,0,0,0,0,0,
2012,Jan. 3,1/3/2012,21.73,0.07,0,0,0,0,0,0,
2012,Jan. 4,1/4/2012,20.3,0.07,0,0,0,0,0,0,
2012,Jan. 9,1/9/2012,13.9,0.03,0,0,0,0,0,0,
2012,Jan. 12,1/12/2012,21.3,0.03,0,0,0,0,0,0,
2012,Jan. 13,1/13/2012,21.3,0.03,0,0,0,0,0,0,
2012,Jan. 23,1/23/2012,33.77,0,0,0,0,0,0,0,
2012,Aug. 20,8/20/2012,50.49,5.08,0.96,0.6,0.87,0.59,0.11,0.17,
2012,Sep. 4,9/4/2012,75.33,3.95,0.1,0.36,0.33,0.13,0.05,0.15,
2012,Sep. 12,9/12/2012,107.6,2.68,0.28,0.42,0.42,0.13,0.09,0.21,
2012,Sep. 19,9/19/2012,55.64,1.61,0.21,0.17,0.14,0.04,0.01,0.09,
2012,Sep. 26,9/26/2012,87.39,3.24,0.29,0.3,0.31,0.12,0.04,0.15,
2012,Oct. 2,10/2/2012,84.29,2.2,0.47,0.29,0.27,0.07,0.01,0.18,
2012,Oct. 9,10/9/2012,112.25,1.17,0.16,0.29,0.24,0.09,0.03,0.11,
2012,Oct. 15,10/15/2012,84.95,1.18,0.18,0.35,0.29,0.13,0.02,0.14,
2012,Oct. 29,10/29/2012,88.29,1.13,0.2,0.2,0.24,0.09,0.03,0.12,
2012,Nov. 5,11/5/2012,64.81,1.51,0.12,0.2,0.16,0.05,0.01,0.09,
2012,Nov. 13,11/13/2012,92.88,1.39,0.17,0.28,0.24,0.07,0.02,0.16,
2012,Nov. 19,11/19/2012,86.11,2.98,0.29,0.26,0.29,0.09,0.04,0.17,
2012,Nov. 29,11/29/2012,119.41,1.44,0.25,0.16,0.18,0.07,0.01,0.1,
2012,Dec. 3,12/3/2012,145.05,1.79,0.27,0.12,0.13,0.06,0.02,0.05,
2012,Dec. 13,12/13/2012,127.49,1.09,0.18,0.06,0.04,0.01,0.01,0.02,
2012,Dec. 20,12/20/2012,145.32,0.72,0.06,0.02,0.01,0.01,0,0,
2013,Jan. 2,1/2/2013,77.88,0.15,0.01,0.01,0,0,0,0,
2013,Jan. 7,1/7/2013,40.19,0.1,0,0,0,0,0,0,
