10,17,"NOF","20120627-E",11,"",0.000000,"GPM",0.000000,"",,,"",,,06/27/2012,1248,0,"D. Ware",
10,17,"SGS","5921277602",1,"",3.000000,"Deg. C",0.000000,"NONE",,,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",2,"",8.810000,"pH units",0.000000,"NONE",,,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",3,"",10.900000,"mg/l",0.000000,"NONE",,,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",4,"",961.000000,"umhos/cm",0.000000,"NONE",,,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",11,"",2.400000,"CFS",0.000000,"CRESTGAUGE",,,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",14,"",8.670000,"pH units",0.010000,"SM4500-H",03/28/2012,1240,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",16,"",49.000000,"mg/l",5.000000,"SM2540-D",03/29/2012,1405,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",19,"<",5.000000,"mg/l",5.000000,"EPA 1664A",03/29/2012,0815,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",36,"",62.660000,"mg/l",0.030000,"EPA 200.7",04/03/2012,2147,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",40,"<",0.030000,"mg/l",0.030000,"EPA 200.7",04/03/2012,2147,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",42,"",47.320000,"mg/l",0.010000,"EPA 200.7",04/03/2012,2147,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",43,"",0.007000,"mg/l",0.002000,"EPA 200.7",04/03/2012,2147,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",45,"",2.440000,"mg/l",0.140000,"EPA 200.7",04/03/2012,2147,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",48,"",76.900000,"mg/l",0.090000,"EPA 200.7",04/03/2012,2147,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
10,17,"SGS","5921277602",53,"",53.000000,"mg/l",1.000000,"EPA 300.0",03/29/2012,2242,"",03/28/2012,04/09/2012,03/28/2012,1033,0,"D. WARE",
