BeneficialUse,Type,Parameter,Criteria mg/L
Fish Consumption,Total,Mercury,0.00015
Fish Consumption,Dissolved,Thallium,0.00047
Fish Consumption,Total,Thallium,0.001
Aquatic Life Acute,Dissolved,Mercury,0.0014
Domestic Use,Total,Mercury,0.002
Domestic Use,Dissolved,Mercury,0.002
Domestic Use,Dissolved,Thallium,0.002
Domestic Use,Dissolved,Beryllium,0.004
Domestic Use,Dissolved,Cadmium,0.005
Domestic Use,Dissolved,Antimony,0.006
Fish Consumption,Dissolved,Arsenic,0.0076
Irrigation,Dissolved,Cadmium,0.01
Irrigation,Dissolved,Mercury,0.01
Livestock,Dissolved,Mercury,0.01
Domestic Use,Total,Arsenic,0.01
Domestic Use,Dissolved,Arsenic,0.01
Primary Contact Recreation,Total,Lead,0.015
Domestic Use,Dissolved,Lead,0.015
Domestic Use,Total,Cadmium,0.018
Aquatic Life Acute,Dissolved,Selenium,0.0184
Irrigation,Total,Selenium,0.02
Irrigation,Dissolved,Selenium,0.02
Recreation,Total,Thallium,0.025
Primary Contact Recreation,Total,Arsenic,0.03
Domestic Use,Total,Uranium,0.03
Domestic Use,Dissolved,Uranium,0.03
Irrigation,Total,Cadmium,0.05
Irrigation,Dissolved,Cobalt,0.05
Irrigation,Dissolved,Molybdenum,0.05
Livestock,Dissolved,Cadmium,0.05
Livestock,Dissolved,Selenium,0.05
Domestic Use,Dissolved,Chromium,0.05
Domestic Use,Dissolved,Selenium,0.05
Domestic Use,Dissolved,Silver,0.05
Recreation,Total,Cadmium,0.062
Primary Contact Recreation,Total,Thallium,0.075
Fish Consumption,Total,Arsenic,0.08
Fish Consumption,Total,Beryllium,0.085
Aquatic Life Acute,Dissolved,Antimony,0.088
Irrigation,Dissolved,Arsenic,0.1
Irrigation,Dissolved,Chromium,0.1
Irrigation,Dissolved,Vanadium,0.1
Livestock,Total,Lead,0.1
Livestock,Dissolved,Lead,0.1
Livestock,Dissolved,Vanadium,0.1
Domestic Use,Total,Chromium,0.1
Domestic Use,Total,Selenium,0.17
Recreation,Total,Arsenic,0.186
Recreation,Total,Lead,0.2
Irrigation,Dissolved,Copper,0.2
Irrigation,Dissolved,Manganese,0.2
Irrigation,Dissolved,Nickel,0.2
Livestock,Total,Nickel,0.2
Livestock,Dissolved,Arsenic,0.2
Recreation,Total,Antimony,0.248
Primary Contact Recreation,Total,Mercury,0.28
Irrigation,Total,Molybdenum,0.3
Livestock,Total,Mercury,0.3
Aquatic Life Acute,Total,Arsenic,0.34
Aquatic Life Acute,Dissolved,Arsenic,0.34
Recreation,Total,Chromium,0.41
Primary Contact Recreation,Total,Cadmium,0.47
Irrigation,Total,Beryllium,0.5
Livestock,Total,Copper,0.5
Livestock,Dissolved,Copper,0.5
Domestic Use,Total,Nickel,0.61
Fish Consumption,Dissolved,Antimony,0.64
Fish Consumption,Total,Selenium,0.67
Domestic Use,Dissolved,Nickel,0.7
Aquatic Life Acute,Dissolved,Thallium,0.7
Primary Contact Recreation,Total,Antimony,0.747
Livestock,Total,Molybdenum,0.75
Aquatic Life Acute,Total,Aluminum,0.75
Aquatic Life Acute,Dissolved,Aluminum,0.75
Domestic Use,Total,Manganese,0.98
Irrigation,Total,Chromium,1
Irrigation,Total,Cobalt,1
Irrigation,Total,Vanadium,1
Livestock,Dissolved,Chromium,1
Livestock,Dissolved,Cobalt,1
