"","Screening Criteria","Use","Jurisdiction","Parameter","Criteria_mg_L","CriteriaFraction","CF","Criterion_Formula_mgL"
"1","Domestic Water Supply","Domestic Water Supply","New Mexico","Antimony",0.006,"Dissolved",NA,NA
"2","Domestic Water Supply","Domestic Water Supply","New Mexico","Arsenic",0.01,"Dissolved",NA,NA
"3","Domestic Water Supply","Domestic Water Supply","New Mexico","Barium",2,"Dissolved",NA,NA
"4","Domestic Water Supply","Domestic Water Supply","New Mexico","Beryllium",0.004,"Dissolved",NA,NA
"5","Domestic Water Supply","Domestic Water Supply","New Mexico","Cadmium",0.005,"Dissolved",NA,NA
"6","Domestic Water Supply","Domestic Water Supply","New Mexico","Chromium",0.1,"Dissolved",NA,NA
"7","Domestic Water Supply","Domestic Water Supply","New Mexico","Copper",1.3,"Dissolved",NA,NA
"8","Domestic Water Supply","Domestic Water Supply","New Mexico","Lead",0.015,"Dissolved",NA,NA
"9","Domestic Water Supply","Domestic Water Supply","New Mexico","Nickel",0.7,"Dissolved",NA,NA
"10","Domestic Water Supply","Domestic Water Supply","New Mexico","Selenium",0.05,"Dissolved",NA,NA
"11","Domestic Water Supply","Domestic Water Supply","New Mexico","Thallium",0.002,"Dissolved",NA,NA
"12","Domestic Water Supply","Domestic Water Supply","New Mexico","Zinc",10.5,"Dissolved",NA,NA
"13","Domestic Water Supply","Domestic Water Supply","Utah","Arsenic",0.01,"Dissolved",NA,NA
"14","Domestic Water Supply","Domestic Water Supply","Utah","Barium",1,"Dissolved",NA,NA
"15","Domestic Water Supply","Domestic Water Supply","Utah","Beryllium",0.004,"Dissolved",NA,NA
"16","Domestic Water Supply","Domestic Water Supply","Utah","Cadmium",0.01,"Dissolved",NA,NA
"17","Domestic Water Supply","Domestic Water Supply","Utah","Chromium",0.05,"Dissolved",NA,NA
"18","Domestic Water Supply","Domestic Water Supply","Utah","Lead",0.015,"Dissolved",NA,NA
"19","Domestic Water Supply","Domestic Water Supply","Utah","Mercury",0.002,"Dissolved",NA,NA
