Date_Time,Site_ID,State,Tribe,Secondary_Tribe,Region,Time_Period,Sample_Type,Hardness,Aluminum,Antimony,Arsenic,Barium,Beryllium,Boron,Cadmium,Calcium,Chromium,Cobalt,Copper,Iron,Lead,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Selenium,Silver,Sodium,Thallium,Vanadium,Zinc,Strontium,Uranium
11/6/2018,9488,Colorado,NA,NA,Region 8,1,Total,175,160,0.92,0.22,26,0.13,NA,1.4,64100,1.1,0.7,7.9,307,3.5,3630,1670,0.079,1.2,3.4,1100,0.46,0.45,3010,0.2,0.2,493,580,1
11/6/2018,9447,Colorado,NA,NA,Region 8,1,Total,225,5040,0.6,1,25,0.16,NA,0.8,79700,1.1,8,11.8,10100,10.3,6240,424,0.079,0.2,5.6,905,0.41,0.45,4040,0.2,1.7,189,660,0.5
11/6/2018,CEM49,Colorado,NA,NA,Region 8,1,Total,559,7450,0.66,5.8,10,0.73,NA,3,206000,1.1,24.5,30.8,17300,11.3,10900,4330,0.079,0.2,19.8,2260,0.41,0.45,4980,0.3,4.3,1800,2200,1
11/6/2018,82,Colorado,NA,NA,Region 8,1,Total,268,3190,0.42,1.5,22,0.2,NA,1.4,97300,1.1,7.8,14.7,6820,8.1,6140,1440,0.079,0.2,7.5,1110,0.5,0.45,3920,0.2,1.2,565,840,1
11/6/2018,81,Colorado,NA,NA,Region 8,1,Total,161,791,0.33,0.43,32,0.13,NA,0.55,55300,1.1,2.4,3.5,1040,1.4,5500,484,0.079,0.2,3.7,1200,0.41,0.45,2990,0.2,0.4,231,450,0.5
11/5/2018,9423A,Colorado,NA,NA,Region 8,1,Total,267,320,0.26,0.66,68,0.13,NA,0.12,87400,1.1,0.6,1.6,386,1.1,11800,243,0.079,0.2,3.4,3620,0.41,0.45,20200,0.2,0.9,38.2,850,0.9
11/7/2018,AR19-3,Colorado,Southern Ute,NA,Region 8,1,Total,257,274,0.76,0.68,62,0.13,NA,0.12,83500,1.1,0.6,1.4,350,1.1,11800,186,0.079,0.5,3.2,3740,0.48,0.45,20400,0.6,1,23.8,830,1
11/7/2018,NAR6,Colorado,Southern Ute,NA,Region 8,1,Total,256,386,0.22,0.56,83,0.13,NA,0.12,82100,1.1,0.6,1.2,364,1,12300,87.9,0.079,0.4,3.4,3290,0.57,0.45,21800,0.2,1.1,13.9,840,1.4
11/7/2018,66Animas057.0,New Mexico,NA,NA,Region 6,1,Total,254,440,0.22,0.58,84,0.13,NA,0.12,81500,1.1,0.6,1.2,416,1.8,12200,91.8,0.079,0.5,3.3,3280,0.45,0.45,21700,0.2,1.2,13.3,830,1.2
11/7/2018,ADW-022,New Mexico,NA,NA,Region 6,1,Total,265,521,0.22,0.65,83,0.13,NA,0.12,84900,1.1,0.6,1.3,465,1.4,12900,78.9,0.079,0.5,3.3,3320,0.49,0.45,22700,0.2,1.4,12.4,870,1.3
