Comments,Screening.Criteria,Use,Jurisdiction,CharacteristicName,ResultSampleFractionText,Criteria_mg_L,CF,Criterion_Formula_mgL
1,Agriculture,Agricultural Supply,Navajo Nation,Aluminum,Total,20,,
87,Aquatic Life,Acute Ag and Wildlife,Navajo Nation,Aluminum,Acid Soluble ,0.75,,
237,Aquatic Life,Chronic Ag and Wildlife,Navajo Nation,Aluminum,Acid Soluble ,0.087,,
88,Aquatic Life,Acute Ag and Wildlife,Navajo Nation,Antimony,Dissolved,0.088,,
238,Aquatic Life,Chronic Ag and Wildlife,Navajo Nation,Antimony,Dissolved,0.03,,
281,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Antimony,Total,0.0056,,
337,Fish Consumption,Fish Consumption,Navajo Nation,Antimony,Total,0.64,,
411,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Antimony,Total,0.747,,
463,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Antimony,Total,0.747,,
2,Agriculture,Agricultural Supply,Navajo Nation,Arsenic,Total,2,,
48,Agriculture,Irrigation (long-term),Utah,Aluminum,Dissolved,5,,
62,Agriculture,Irrigation (short-term),Utah,Aluminum,Dissolved,20,,
101,Aquatic Life,Aquatic Acute,Colorado,Aluminum,Total Recoverable,,1,(CF*exp( 1.3695 *log(hardness)+ 1.8308 ))/1000
171,Aquatic Life,Aquatic Chronic,Colorado,Aluminum,Total Recoverable,,1,(CF*exp( 1.3695 *log(hardness)+ -0.1158 ))/1000
250,Aquatic Life,Warm Water Fish 1-hr,Utah,Aluminum,Dissolved,0.75,,
263,Aquatic Life,Warm Water Fish 4-day,Utah,Aluminum,Dissolved,0.087,,
167,Aquatic Life,Aquatic Acute 1-Hour,Ute Mountain Ute,Aluminum,Total Recoverable,0.75,,
327,Domestic Water Supply,Drinking Water 30-Day,Ute Mountain Ute,Antimony,Dissolved,0.0056,,
17,Agriculture,Agriculture 30-Day,Ute Mountain Ute,Arsenic,Total Recoverable,0.1,,
168,Aquatic Life,Aquatic Acute 1-Hour,Ute Mountain Ute,Arsenic,Total Recoverable,0.34,,
227,Aquatic Life,Aqutic Chronic 4-Day,Ute Mountain Ute,Arsenic,Total Recoverable,0.15,,
317,Domestic Water Supply,Domestic Water and Tribal 1 Day,Ute Mountain Ute,Arsenic,Total Recoverable,1.80E-05,,
348,Fish Consumption,Fish Consumption,Ute Mountain Ute,Arsenic,Total Recoverable,1.40E-05,,
318,Domestic Water Supply,Domestic Water and Tribal 1 Day,Ute Mountain Ute,Barium,Dissolved,1,,
18,Agriculture,Agriculture 30-Day,Ute Mountain Ute,Cadmium,Total Recoverable,0.01,,
26,Agriculture,Irrigation,New Mexico,Aluminum,Dissolved,5,,
130,Aquatic Life,Aquatic Acute,New Mexico,Aluminum,Total recoverable,,1,(CF*exp( 1.3695 *log(hardness)+ 1.8308 ))/1000
200,Aquatic Life,Aquatic Chronic,New Mexico,Aluminum,Total recoverable,,1,(CF*exp( 1.3695 *log(hardness)+ 0.9161 ))/1000
295,Domestic Water Supply,Domestic Water Supply,New Mexico,Antimony,Dissolved,0.006,,
351,Fish Consumption,HH-OO,New Mexico,Antimony,Dissolved,0.64,,
27,Agriculture,Irrigation,New Mexico,Arsenic,Dissolved,0.1,,
131,Aquatic Life,Aquatic Acute,New Mexico,Arsenic,Dissolved,0.34,,
201,Aquatic Life,Aquatic Chronic,New Mexico,Arsenic,Dissolved,0.15,,
296,Domestic Water Supply,Domestic Water Supply,New Mexico,Arsenic,Dissolved,0.01,,
352,Fish Consumption,HH-OO,New Mexico,Arsenic,Dissolved,0.009,,
76,Agriculture,Revised Ag Water Supply,Region 9,Aluminum,Dissolved,5,,
424,Recreation and Human Contact,Recreational,Region 6,Aluminum,Dissolved,170,,
37,Agriculture,Irrigation,Region 6,Antimony,Dissolved,5,,
425,Recreation and Human Contact,Recreational,Region 6,Antimony,Dissolved,0.067,,
77,Agriculture,Revised Ag Water Supply,Region 9,Arsenic,Dissolved,2,,
386,Livestock,Livestock Watering,Region 9,Arsenic,Dissolved,0.2,,
426,Recreation and Human Contact,Recreational,Region 6,Arsenic,Dissolved,0.05,,
427,Recreation and Human Contact,Recreational,Region 6,Barium,Dissolved,33,,
376,Livestock,Livestock Watering,Region 6,Beryllium,Dissolved,0.1,,
428,Recreation and Human Contact,Recreational,Region 6,Beryllium,Dissolved,0.33,,
38,Agriculture,Irrigation,Region 6,Cadmium,Dissolved,0.01,,
395,Livestock,Livestock Watering,Utah,Aluminum,Dissolved,5,,
443,Recreation and Human Contact,Recreational,Utah,Aluminum,Total,620.767,,
331,Fish Consumption,Fish Consumption,Colorado,Antimony,Total Recoverable,0.64,,
444,Recreation and Human Contact,Recreational,Utah,Antimony,Total,0.248,,
11,Agriculture,Agricultural Uses,Utah,Arsenic,Dissolved,0.1,,
49,Agriculture,Irrigation (long-term),Utah,Arsenic,Dissolved,0.1,,
63,Agriculture,Irrigation (short-term),Utah,Arsenic,Dissolved,2,,
102,Aquatic Life,Aquatic Acute,Colorado,Arsenic,Dissolved,0.34,,
172,Aquatic Life,Aquatic Chronic,Colorado,Arsenic,Dissolved,0.15,,
332,Fish Consumption,Fish Consumption,Colorado,Arsenic,Total Recoverable,0.0076,,
251,Aquatic Life,Warm Water Fish 1-hr,Utah,Arsenic,Dissolved,0.34,,
264,Aquatic Life,Warm Water Fish 4-day,Utah,Arsenic,Dissolved,0.15,,
308,Domestic Water Supply,Domestic Water Supply,Utah,Arsenic,Dissolved,0.01,,
396,Livestock,Livestock Watering,Utah,Arsenic,Dissolved,0.2,,
445,Recreation and Human Contact,Recreational,Utah,Arsenic,Total,0.186,,
275,Domestic Water Supply,Domestic Supply 1-Day,Colorado,Barium,Total Recoverable,1,,
309,Domestic Water Supply,Domestic Water Supply,Utah,Barium,Dissolved,1,,
446,Recreation and Human Contact,Recreational,Utah,Barium,Total,124.159,,
310,Domestic Water Supply,Domestic Water Supply,Utah,Beryllium,Dissolved,0.004,,
447,Recreation and Human Contact,Recreational,Utah,Beryllium,Total,1.242,,
12,Agriculture,Agricultural Uses,Utah,Cadmium,Dissolved,0.01,,
50,Agriculture,Irrigation (long-term),Utah,Cadmium,Dissolved,0.01,,
64,Agriculture,Irrigation (short-term),Utah,Cadmium,Dissolved,0.05,,
103,Aquatic Life,Aquatic Acute,Colorado,Cadmium,Dissolved,,1.136672 -log(hardness)* 0.041838,(CF*exp( 0.9151 *log(hardness)+ -3.1485 ))/1000
173,Aquatic Life,Aquatic Chronic,Colorado,Cadmium,Dissolved,,1.101672 -log(hardness)* 0.041838,(CF*exp( 0.7998 *log(hardness)+ -4.4451 ))/1000
249,Aquatic Life,Trout Acute,Colorado,Cadmium,Dissolved,,1.136672 -log(hardness)* 0.041838,(CF*exp( 0.9151 *log(hardness)+ -3.6236 ))/1000
276,Domestic Water Supply,Domestic Supply 1-Day,Colorado,Cadmium,Total Recoverable,0.005,,
145,Aquatic Life,Aquatic Acute,Utah,Cadmium,Dissolved,,1.136672 -log(hardness)* 0.041838,(CF*exp( 0.9789 *log(hardness)+ -3.866 ))/1000
78,Agriculture,Revised Ag Water Supply,Region 9,Cadmium,Dissolved,0.05,,
115,Aquatic Life,Aquatic Acute,EPA,Cadmium,Dissolved,,1.136672 -log(hardness)* 0.041838,(CF*exp( 0.9789 *log(hardness)+ -3.866 ))/1000
188,Aquatic Life,Aquatic Chronic,EPA,Cadmium,Dissolved,,1.101672 -log(hardness)* 0.041838,(CF*exp( 0.7977 *log(hardness)+ -3.909 ))/1000
377,Livestock,Livestock Watering,Region 6,Cadmium,Dissolved,0.05,,
387,Livestock,Livestock Watering,Region 9,Cadmium,Dissolved,0.05,,
429,Recreation and Human Contact,Recreational,Region 6,Cadmium,Dissolved,0.083,,
39,Agriculture,Irrigation,Region 6,Chromium,Dissolved,0.1,,
79,Agriculture,Revised Ag Water Supply,Region 9,Chromium,Dissolved,1,,
378,Livestock,Livestock Watering,Region 6,Chromium,Dissolved,1,,
388,Livestock,Livestock Watering,Region 9,Chromium,Dissolved,1,,
430,Recreation and Human Contact,Recreational,Region 6,Chromium,Dissolved,220,,
89,Aquatic Life,Acute Ag and Wildlife,Navajo Nation,Arsenic,Dissolved,0.34,,
239,Aquatic Life,Chronic Ag and Wildlife,Navajo Nation,Arsenic,Dissolved,0.15,,
282,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Arsenic,Total,0.01,,
338,Fish Consumption,Fish Consumption,Navajo Nation,Arsenic,Total,0.08,,
357,Livestock,Livestock Watering,Navajo Nation,Arsenic,Total,0.2,,
412,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Arsenic,Total,0.03,,
464,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Arsenic,Total,0.28,,
283,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Barium,Total,2,,
413,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Barium,Total,98,,
465,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Barium,Total,98,,
284,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Beryllium,Total,0.004,,
339,Fish Consumption,Fish Consumption,Navajo Nation,Beryllium,Total,0.085,,
