"","Screening.Criteria","Use","Jurisdiction","CharacteristicName","ResultSampleFractionText","Criteria_mg_L","CF","Criterion_Formula_mgL"
"1","Agriculture","Agricultural Supply","Navajo Nation","Aluminum","Total",20,NA,NA
"2","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Aluminum","Acid Soluble ",0.75,NA,NA
"3","Aquatic Life","Chronic Ag and Wildlife","Navajo Nation","Aluminum","Acid Soluble ",0.087,NA,NA
"4","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Antimony","Dissolved",0.088,NA,NA
"5","Aquatic Life","Chronic Ag and Wildlife","Navajo Nation","Antimony","Dissolved",0.03,NA,NA
"6","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Antimony","Total",0.0056,NA,NA
"7","Fish Consumption","Fish Consumption","Navajo Nation","Antimony","Total",0.64,NA,NA
"8","Recreation and Human Contact","Primary Human Contact","Navajo Nation","Antimony","Total",0.747,NA,NA
"9","Recreation and Human Contact","Secondary Human Contact","Navajo Nation","Antimony","Total",0.747,NA,NA
"10","Agriculture","Agricultural Supply","Navajo Nation","Arsenic","Total",2,NA,NA
"11","Agriculture","Irrigation (long-term)","Utah","Aluminum","Dissolved",5,NA,NA
"12","Agriculture","Irrigation (short-term)","Utah","Aluminum","Dissolved",20,NA,NA
"13","Aquatic Life","Aquatic Acute","Colorado","Aluminum","Total Recoverable",NA,"1","(CF*exp( 1.3695 *log(hardness)+ 1.8308 ))/1000"
"14","Aquatic Life","Aquatic Chronic","Colorado","Aluminum","Total Recoverable",NA,"1","(CF*exp( 1.3695 *log(hardness)+ -0.1158 ))/1000"
"15","Aquatic Life","Warm Water Fish 1-hr","Utah","Aluminum","Dissolved",0.75,NA,NA
"16","Aquatic Life","Warm Water Fish 4-day","Utah","Aluminum","Dissolved",0.087,NA,NA
"17","Aquatic Life","Aquatic Acute 1-Hour","Ute Mountain Ute","Aluminum","Total Recoverable",0.75,NA,NA
"18","Domestic Water Supply","Drinking Water 30-Day","Ute Mountain Ute","Antimony","Dissolved",0.0056,NA,NA
"19","Agriculture","Agriculture 30-Day","Ute Mountain Ute","Arsenic","Total Recoverable",0.1,NA,NA
"20","Aquatic Life","Aquatic Acute 1-Hour","Ute Mountain Ute","Arsenic","Total Recoverable",0.34,NA,NA
"21","Aquatic Life","Aqutic Chronic 4-Day","Ute Mountain Ute","Arsenic","Total Recoverable",0.15,NA,NA
"22","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Arsenic","Total Recoverable",1.8e-05,NA,NA
"23","Fish Consumption","Fish Consumption","Ute Mountain Ute","Arsenic","Total Recoverable",1.4e-05,NA,NA
"24","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Barium","Dissolved",1,NA,NA
"25","Agriculture","Agriculture 30-Day","Ute Mountain Ute","Cadmium","Total Recoverable",0.01,NA,NA
"26","Agriculture","Irrigation","New Mexico","Aluminum","Dissolved",5,NA,NA
"27","Aquatic Life","Aquatic Acute","New Mexico","Aluminum","Total Recoverable",NA,"1","(CF*exp( 1.3695 *log(hardness)+ 1.8308 ))/1000"
"28","Aquatic Life","Aquatic Chronic","New Mexico","Aluminum","Total Recoverable",NA,"1","(CF*exp( 1.3695 *log(hardness)+ 0.9161 ))/1000"
"29","Domestic Water Supply","Domestic Water Supply","New Mexico","Antimony","Dissolved",0.006,NA,NA
"30","Fish Consumption","HH-OO","New Mexico","Antimony","Dissolved",0.64,NA,NA
"31","Agriculture","Irrigation","New Mexico","Arsenic","Dissolved",0.1,NA,NA
"32","Aquatic Life","Aquatic Acute","New Mexico","Arsenic","Dissolved",0.34,NA,NA
"33","Aquatic Life","Aquatic Chronic","New Mexico","Arsenic","Dissolved",0.15,NA,NA
"34","Domestic Water Supply","Domestic Water Supply","New Mexico","Arsenic","Dissolved",0.01,NA,NA
"35","Fish Consumption","HH-OO","New Mexico","Arsenic","Dissolved",0.009,NA,NA
"36","Agriculture","Revised Ag Water Supply","Region 9","Aluminum","Dissolved",5,NA,NA
"37","Recreation and Human Contact","Recreational","Region 6","Aluminum","Dissolved",170,NA,NA
"38","Agriculture","Irrigation","Region 6","Antimony","Dissolved",5,NA,NA
"39","Recreation and Human Contact","Recreational","Region 6","Antimony","Dissolved",0.067,NA,NA
"40","Agriculture","Revised Ag Water Supply","Region 9","Arsenic","Dissolved",2,NA,NA
"41","Livestock","Livestock Watering","Region 9","Arsenic","Dissolved",0.2,NA,NA
