"","CharacteristicName","ResultSampleFractionText"
"1","Total dissolved solids","Total"
"2","Bicarbonate","Total"
"3","Total suspended solids","Total"
"4","Chloride","Total"
"5","Sulfate","Total"
"6","Alkalinity, total","Total"
"7","Carbonate","Total"
"8","Total Kjeldahl nitrogen (Organic N & NH3)","Total"
"9","Ammonia-nitrogen","Total"
"10","Phosphate-phosphorus","Total"
"11","Nitrate + Nitrite","Total"
"12","Barium","Total"
"13","Vanadium","Total"
"14","Magnesium","Total"
"15","Lead","Total"
"16","Potassium","Total"
"17","Cobalt","Total"
"18","Boron","Total"
"19","Antimony","Total"
"20","Beryllium","Total"
"21","Cadmium","Total"
"22","Chromium","Total"
"23","Copper","Total"
"24","Molybdenum","Total"
"25","Nickel","Total"
"26","Selenium","Total"
"27","Calcium","Total"
"28","Silver","Total"
"29","Thallium","Total"
"30","Uranium","Total"
"31","Zinc","Total"
"32","Mercury","Total"
"33","Arsenic","Total"
"34","Manganese","Total"
"35","Sodium","Total"
"36","Aluminum","Total"
"37","Iron","Total"
"38","Sodium","Dissolved"
"39","Boron","Dissolved"
"40","Iron","Dissolved"
"41","Aluminum","Dissolved"
"42","Antimony","Dissolved"
"43","Beryllium","Dissolved"
"44","Cadmium","Dissolved"
"45","Chromium","Dissolved"
"46","Cobalt","Dissolved"
"47","Arsenic","Dissolved"
"48","Nickel","Dissolved"
"49","Selenium","Dissolved"
"50","Lead","Dissolved"
"51","Copper","Dissolved"
"52","Silver","Dissolved"
"53","Thallium","Dissolved"
"54","Zinc","Dissolved"
"55","Vanadium","Dissolved"
"56","Uranium","Dissolved"
"57","Mercury","Dissolved"
"58","Potassium","Dissolved"
"59","Calcium","Dissolved"
"60","Magnesium","Dissolved"
"61","Molybdenum","Dissolved"
"62","Manganese","Dissolved"
"63","Barium","Dissolved"
"64","Flow",""
"65","Dissolved oxygen (DO)",""
"66","Salinity",""
"67","Temperature, water",""
"68","Dissolved oxygen saturation",""
"69","Specific conductance",""
"70","pH",""
"71","Escherichia coli","Total"
"72","Total Coliform","Total"
"73","Aluminum","Total Recoverable"
"74","Antimony","Total Recoverable"
"75","Arsenic","Total Recoverable"
"76","Barium","Total Recoverable"
"77","Beryllium","Total Recoverable"
"78","Cadmium","Total Recoverable"
"79","Calcium","Total Recoverable"
"80","Chromium","Total Recoverable"
"81","Cobalt","Total Recoverable"
"82","Copper","Total Recoverable"
"83","Iron","Total Recoverable"
"84","Lead","Total Recoverable"
"85","Magnesium","Total Recoverable"
"86","Manganese","Total Recoverable"
"87","Molybdenum","Total Recoverable"
"88","Nickel","Total Recoverable"
"89","Potassium","Total Recoverable"
"90","Selenium","Total Recoverable"
"91","Silver","Total Recoverable"
"92","Sodium","Total Recoverable"
"93","Thallium","Total Recoverable"
"94","Vanadium","Total Recoverable"
"95","Zinc","Total Recoverable"
"96","Bicarbonate",""
"97","Hardness, carbonate",""
"98","Hydroxide","Total"
"99","Total dissolved solids",""
"100","Total suspended solids",""
"101","Alkalinity, total",""
"102","Alkalinity, bicarbonate","Total"
"103","Alkalinity, carbonate","Total"
"104","Alkalinity, Hydroxide","Total"
"105","Hardness, carbonate","Total"
"106","Sulfide","Total"
"107","Organic carbon","Total"
"108","Uranium","Total Recoverable"
"109","Orthophosphate","Total"
"110","Ammonia","Total"
"111","Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite","Total"
"112","Phosphorus","Total"
"113","Kjeldahl nitrogen","Total"
"114","Cobalt",""
"115","Mercury","Total Recoverable"
"116","Moisture content",""
"117","Uranium",""
"118","Decahydronaphthalene",""
"119","C1-Decalins",""
"120","C2-Decalins",""
"121","C3-Decalins",""
"122","C4-Decalins",""
"123","Naphthalene","Total Recoverable"
"124","Methylnaphthalene",""
"125","C2-Naphthalenes","Total Recoverable"
"126","C3-Naphthalenes","Total Recoverable"
"127","C4-Naphthalenes","Total Recoverable"
"128","Benzo[b]thiophene","Total Recoverable"
"129","Methylchrysene","Total Recoverable"
"130","C2-Benzothiophenes",""
"131","C3-Benzothiophenes",""
"132","C4-Benzothiophenes",""
"133","Biphenyl","Total Recoverable"
"134","Acenaphthylene","Total Recoverable"
"135","Acenaphthene","Total Recoverable"
"136","Dibenzofuran",""
"137","Fluorene","Total Recoverable"
