Basin,Scenario,HUC_12,Watershed,Ecological_Index,Stressor_Index,Social_Index,RPI_Score
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160101010401,Upper Yellow Creek,77,0.191,0,58.936
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160101010801,Bridger Creek-Bear River,79.5,0.655,16.667,65.171
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160101010906,Lower Twin Creek-Bear River,100,1.064,16.667,71.868
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160102030307,Card Canyon-Logan River,58.3,3.373,27.75,60.892
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160101010605,Little Creek,53.5,4.773,16.8,55.176
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160101010703,Lower Woodruff Creek,87.6,4.909,16.717,66.469
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160102020506,High Creek,99.5,6.7,43.783,78.861
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160101010802,Sage Creek-Bear River,40.7,8.445,16.667,49.641
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160101010601,Bear River-Sage Hollow,15.3,15.873,16.683,38.703
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160102040502,Mantua Reservoir-Box Elder Creek,33.3,16.927,5.933,40.769
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160101010803,Rabbitt Creek-Bear River,22.8,19.591,16.667,39.959
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160101010604,Brazier Canyon-Bear River,5.4,21.827,16.667,33.413
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160102030105,Hyrum Reservoir-Little Bear River,47.4,27.455,17,45.648
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160102020504,Middle Cub River,45.5,35.5,71.683,60.561
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160102020705,Newton Creek,34.9,38.255,17.267,37.971
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160102020507,Lower Cub River,34.9,40.836,44.45,46.171
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160102030308,Little Logan River-Logan River,0,43.345,33.333,29.996
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160102020703,Nebo Creek-Bear River,24.4,50.973,16.817,30.081
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160102020706,Cutler Reservoir-Bear River,15.6,56.327,16.667,25.313
Bear River,1A: What nutrient impaired AUs with agricultural land uses and increased population growth are within drinking water source protection areas?,160102020604,Pullum Hollow-Bear River,2.7,62.591,16.75,18.953
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160102030307,Card Canyon-Logan River,58.3,15.222,27.75,56.943
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160101010703,Lower Woodruff Creek,87.6,21.518,16.717,60.933
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160102020506,High Creek,99.5,21.644,43.783,73.88
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160102030308,Little Logan River-Logan River,0,22.609,33.333,36.908
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160101010605,Little Creek,53.5,23.536,16.8,48.921
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160101010401,Upper Yellow Creek,77,24.564,0,50.812
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160101010906,Lower Twin Creek-Bear River,100,26.073,16.667,63.531
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160101010802,Sage Creek-Bear River,40.7,27.736,16.667,43.21
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160102040502,Mantua Reservoir-Box Elder Creek,33.3,28.191,5.933,37.014
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160101010801,Bridger Creek-Bear River,79.5,31.327,16.667,54.947
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160101010601,Bear River-Sage Hollow,15.3,31.527,16.683,33.485
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160101010604,Brazier Canyon-Bear River,5.4,37.855,16.667,28.071
