"","ASSESSMENT_UNIT_ID","timestamp","reviewers_name","basin","scenario","which_action_plan_or_bin","huc12_id","are_there_any_major_point_sources_in_the_assessment_unit","additional_comments","approved_tmdl_in_huc","parameters_in_tmdl","is_there_an_active_watershed_group_for_this_huc","are_water_quality_concerns_in_this_huc_a_priority_for_local_stakeholders","AssessmentUnitName","Impaired_Params"
"1","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1A: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"2","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1A: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"3","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1A: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"4","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1A: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"5","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1A: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"6","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1A: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"7","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1B: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"8","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1B: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"9","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1B: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"10","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1B: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"11","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1B: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"12","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1B: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"13","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1C: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"14","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1C: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"15","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1C: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"16","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1C: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"17","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1C: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"18","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1C: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"19","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1E: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"20","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1E: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"21","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1E: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"22","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1E: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"23","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1E: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"24","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","1E: Human Health","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"25","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","3A: Aquatic Life","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
"26","UT-L-16020201-004_01","1/19/2024","Scott Daly","Utah Lake","3A: Aquatic Life","TMDL","160202010900","Y",NA,"N",NA,"Y","Y","Utah Lake other than Provo Bay","Escherichia Coli (E. Coli), Eutrophication, Harmful Algal Blooms, Pcbs in Fish Tissue, Phosphorus, Total, Total Dissolved Solids (Tds)"
