ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,PARAMETER_CODE_NAME,PARAMETER_STATUS_NAME,EPA_PARAM_IR_CATEGORY_ID,USE_NAME,ATTAINMENT_CODE_NAME,PARAMETER_ATTAINMENT
UT15010008-013_00,North Fork Virgin River-2,ESCHERICHIA COLI (E. COLI),Cause,4A,Domestic Source,Not Supporting,Not meeting criteria
UT15010008-013_00,North Fork Virgin River-2,ESCHERICHIA COLI (E. COLI),Cause,4A,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT15010008-013_00,North Fork Virgin River-2,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14060004-006_00,Starvation Reservoir,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14060004-006_00,Starvation Reservoir,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16030007-011_00,Minersville Reservoir,DISSOLVED OXYGEN,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16030007-011_00,Minersville Reservoir,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16030007-011_00,Minersville Reservoir,TEMPERATURE,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16030007-011_00,Minersville Reservoir,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060007-006_00,Gordon Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,4A,Agricultural,Not Supporting,Not meeting criteria
UT14060007-006_00,Gordon Creek,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria
UT-L-14060003-293_00,Butterfly Lake,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14060003-293_00,Butterfly Lake,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020204-017_00,Mill Creek2-SLCity,ESCHERICHIA COLI (E. COLI),Cause,4A,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020204-017_00,Mill Creek2-SLCity,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030003-010_00,Lost Creek3-Salina,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16030003-010_00,Lost Creek3-Salina,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030003-010_00,Lost Creek3-Salina,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
