"","AU","Label"
"1","UT-L-14040106-033_00","TMDL(33618): DISSOLVED OXYGEN, PHOSPHORUS, TOTAL"
"2","UT-L-14040106-034_00","TMDL(33613): DISSOLVED OXYGEN, PHOSPHORUS, TOTAL"
"3","UT-L-14060004-001_00","TMDL(33705): DISSOLVED OXYGEN, PHOSPHORUS, TOTAL"
"4","UT-L-14060007-005_00","TMDL(1060): PHOSPHORUS, TOTAL, PH, DISSOLVED OXYGEN"
"5","UT-L-14060010-002_00","TMDL(35100): DISSOLVED OXYGEN"
"6","UT-L-14060010-006_00","TMDL(35078): DISSOLVED OXYGEN"
"7","UT-L-14060010-008_00","TMDL(35079): DISSOLVED OXYGEN"
"8","UT-L-14070003-010_00","TMDL(4059): PHOSPHORUS, TOTAL"
"9","UT-L-14070003-015_00","TMDL(4061): PHOSPHORUS, TOTAL"
"10","UT-L-14070003-019_00","TMDL(4060): PHOSPHORUS, TOTAL, DISSOLVED OXYGEN"
"11","UT-L-15010008-001_00","TMDL(12106): PHOSPHORUS, TOTAL, DISSOLVED OXYGEN"
"12","UT-L-15010008-008_00","TMDL(12105): PHOSPHORUS, TOTAL, TEMPERATURE, DISSOLVED OXYGEN"
"13","UT-L-16010202-002_00","TMDL(38237): DISSOLVED OXYGEN, EUTROPHICATION, PHOSPHORUS, TOTAL"
"14","UT-L-16010202-013_00","TMDL(11148): PHOSPHORUS, TOTAL, DISSOLVED OXYGEN"
"15","UT-L-16010203-005_00","TMDL(4011): PHOSPHORUS, TOTAL, DISSOLVED OXYGEN"
"16","UT-L-16010204-033_00","TMDL(762): PHOSPHORUS, TOTAL, DISSOLVED OXYGEN, PH"
"17","UT-L-16020101-001_00","TMDL(59860): DISSOLVED OXYGEN, PHOSPHORUS, TOTAL"
"18","UT-L-16020101-002_00","TMDL(59861): DISSOLVED OXYGEN"
"19","UT-L-16020102-014_00","TMDL(4055): DISSOLVED OXYGEN, PHOSPHORUS, TOTAL, PH"
"20","UT-L-16020102-020_00","TMDL(400): DISSOLVED OXYGEN, PHOSPHORUS, TOTAL<br>TMDL(39157): DISSOLVED OXYGEN, PH, PHOSPHORUS, TOTAL"
"21","UT-L-16020203-001_00","TMDL(4046): DISSOLVED OXYGEN"
"22","UT-L-16030001-006_00","TMDL(11149): PHOSPHORUS, TOTAL, DISSOLVED OXYGEN"
"23","UT-L-16030002-004_00","TMDL(30890): PHOSPHORUS, TOTAL"
"24","UT-L-16030002-005_00","TMDL(31020): PHOSPHORUS, TOTAL, DISSOLVED OXYGEN"
